Vendor Name,EHR Product Name,EHR Product Version,Product Classification,Product Setting,Attestation Month,Business State/Territory,Provider Type,Specialty,Program Year,Payment Year,Program Type,ID
American Medical Software,American Medical Software - EMR,22,Complete EHR,Ambulatory,4,Texas,EP,GENERAL PRACTICE,2011,1,Medicare,1
eClinicalWorks LLC,eClinicalWorks,9,Complete EHR,Ambulatory,4,Georgia,EP,GENERAL PRACTICE,2011,1,Medicare,2
eClinicalWorks LLC,eClinicalWorks,9,Complete EHR,Ambulatory,4,California,EP,INTERNAL MEDICINE,2011,1,Medicare,3
eClinicalWorks LLC,eClinicalWorks,8.0.48,Complete EHR,Ambulatory,4,Louisiana,EP,FAMILY PRACTICE,2011,1,Medicare,4
eClinicalWorks LLC,eClinicalWorks,8.0.48,Complete EHR,Ambulatory,4,Michigan,EP,FAMILY PRACTICE,2011,1,Medicare,5
"Greenway Medical Technologies, Inc.",PrimeSuite,2011,Complete EHR,Ambulatory,4,Texas,EP,FAMILY PRACTICE,2011,1,Medicare,6
Allscripts,Allscripts MyWay EHR,9,Complete EHR,Ambulatory,4,Virginia,EP,GENERAL SURGERY,2011,1,Medicare,7
Allscripts,Allscripts MyWay EHR,9,Complete EHR,Ambulatory,4,North Carolina,EP,INTERNAL MEDICINE,2011,1,Medicare,8
"e-MDs, Inc.",e-MDs Solution Series,7,Complete EHR,Ambulatory,4,Mississippi,EP,GENERAL SURGERY,2011,1,Medicare,9
"e-MDs, Inc.",e-MDs Solution Series,7,Complete EHR,Ambulatory,4,Kansas,EP,FAMILY PRACTICE,2011,1,Medicare,10
"Community Computer Service, Inc.",MEDENT,19.5,Complete EHR,Ambulatory,4,New York,EP,OBSTETRICS/GYNECOLOGY,2011,1,Medicare,11
"Community Computer Service, Inc.",MEDENT,19.5,Complete EHR,Ambulatory,4,New York,EP,OBSTETRICS/GYNECOLOGY,2011,1,Medicare,12
"Community Computer Service, Inc.",MEDENT,19.5,Complete EHR,Ambulatory,4,New York,EP,OBSTETRICS/GYNECOLOGY,2011,1,Medicare,13
"Community Computer Service, Inc.",MEDENT,19.5,Complete EHR,Ambulatory,4,New York,EP,FAMILY PRACTICE,2011,1,Medicare,14
"Community Computer Service, Inc.",MEDENT,19.5,Complete EHR,Ambulatory,4,New York,EP,FAMILY PRACTICE,2011,1,Medicare,15
"Community Computer Service, Inc.",MEDENT,19.5,Complete EHR,Ambulatory,4,New York,EP,FAMILY PRACTICE,2011,1,Medicare,16
"Community Computer Service, Inc.",MEDENT,19.5,Complete EHR,Ambulatory,4,New York,EP,FAMILY PRACTICE,2011,1,Medicare,17
"Community Computer Service, Inc.",MEDENT,19.5,Complete EHR,Ambulatory,4,New York,EP,OBSTETRICS/GYNECOLOGY,2011,1,Medicare,18
"Community Computer Service, Inc.",MEDENT,19.5,Complete EHR,Ambulatory,4,New York,EP,FAMILY PRACTICE,2011,1,Medicare,19
"Community Computer Service, Inc.",MEDENT,19.5,Complete EHR,Ambulatory,4,New York,EP,FAMILY PRACTICE,2011,1,Medicare,20
"Community Computer Service, Inc.",MEDENT,19.5,Complete EHR,Ambulatory,4,New York,EP,OBSTETRICS/GYNECOLOGY,2011,1,Medicare,21
BioMedix Vascular Solutions,TRAKnet Practice Management Software,2,Complete EHR,Ambulatory,4,New Jersey,EP,PODIATRY,2011,1,Medicare,22
BioMedix Vascular Solutions,TRAKnet Practice Management Software,2,Complete EHR,Ambulatory,4,Iowa,EP,PODIATRY,2011,1,Medicare,23
BioMedix Vascular Solutions,TRAKnet Practice Management Software,2,Complete EHR,Ambulatory,4,Florida,EP,PODIATRY,2011,1,Medicare,24
BioMedix Vascular Solutions,TRAKnet Practice Management Software,2,Complete EHR,Ambulatory,4,Kentucky,EP,PODIATRY,2011,1,Medicare,25
BioMedix Vascular Solutions,TRAKnet Practice Management Software,2,Complete EHR,Ambulatory,4,Kentucky,EP,PODIATRY,2011,1,Medicare,26
Sage,Sage Intergy Meaningful Use Edition,6.2,Complete EHR,Ambulatory,4,New Jersey,EP,FAMILY PRACTICE,2011,1,Medicare,27
Sage,Sage Intergy Meaningful Use Edition,6.2,Complete EHR,Ambulatory,4,New Jersey,EP,GASTROENTEROLOGY,2011,1,Medicare,28
